target_state,comparator,rank,weight,effective_commercial_hectares,effective_hectares_per_cap,comparator_included_in_denominator,included_reason,capacity_note
Cape Colony,South Australia,1,10,1590000.0,53000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,Maule Region,2,10,2650000.0000000005,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,Western Australia,3,10,1590000.0,53000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,O'Higgins Region,4,10,2650000.0000000005,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,California,5,10,15900000.000000002,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,Valparaíso Region,6,5,2650000.0000000005,53000.00000000001,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Cape Colony; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Cape Colony,,7,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,8,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,9,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,10,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,11,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,12,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,13,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,15,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,16,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,18,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,19,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Cape Colony,,20,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,Texas,1,10,28999999.999999996,57999.99999999999,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Cape,New Mexico,2,10,2319999.9999999995,57999.999999999985,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Cape,,3,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,4,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,La Pampa,5,10,8700000.0,58000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Cape,Mendoza Province,6,5,6960000.0,58000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Cape,San Luis Province,7,5,8700000.0,58000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Cape,,8,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,9,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,10,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,11,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,12,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,13,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,15,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,16,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Cape,South Australia,18,1,1740000.0,58000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Cape,Western Australia,19,1,1740000.0,58000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Cape,Queensland,20,1,1159999.9999999998,57999.999999999985,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,New South Wales,1,10,2200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,Victoria,2,10,2200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,,3,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,Rio Grande do Sul,4,10,4400000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,,5,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,Buenos Aires Province,6,5,16500000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,,7,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,Entre Ríos Province,8,5,6600000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,,9,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,Ñuble Region,10,5,550000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,Biobío Region,11,2,550000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,,12,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,Maule Region,13,2,2750000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,,15,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,Tasmania,16,1,825000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,,18,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Cape,Corrientes,19,1,6600000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Cape,Paraná,20,1,2200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Cape; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
West Transvaal,,1,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,2,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,3,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,4,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,5,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,Federal District,6,5,2200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for West Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
West Transvaal,,7,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,Community of Madrid,8,5,1870000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for West Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
West Transvaal,,9,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,10,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,11,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,Colorado,12,2,8800000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for West Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
West Transvaal,New Mexico,13,2,2200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for West Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
West Transvaal,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,15,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,16,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,,18,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
West Transvaal,Canberra / ACT,19,1,2200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for West Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
West Transvaal,Minas Gerais,20,1,8250000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for West Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,São Paulo,1,10,7020000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Paraná,2,10,2160000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Queensland,3,10,1080000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Santa Catarina,4,10,2160000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Minas Gerais,5,10,8100000.000000002,54000.000000000015,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Misiones Province,6,5,6480000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,North Carolina,7,5,9720000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Georgia,8,5,9720000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,South Carolina,9,5,5400000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,,10,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Transvaal,,11,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Transvaal,,12,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Transvaal,,13,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Transvaal,Corrientes,14,2,6480000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Espírito Santo,15,2,4320000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,Bahia,16,1,4320000.0,54000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Eastern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Eastern Transvaal,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Transvaal,,18,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Transvaal,,19,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Eastern Transvaal,,20,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,1,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,Texas,2,10,27500000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Transvaal,Mato Grosso do Sul,3,10,3300000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Transvaal,,4,10,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,Goiás,5,10,2200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Transvaal,,6,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,7,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,8,5,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,Formosa Province,9,5,4400000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Transvaal,Chaco Province,10,5,3300000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Transvaal,Queensland,11,2,1100000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Transvaal,Minas Gerais,12,2,8250000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Northern Transvaal; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Northern Transvaal,,13,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,14,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,15,2,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,16,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,17,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,18,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,19,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Northern Transvaal,,20,1,,,no,Missing comparator land-capacity row or comparator proxy cap.,
Transorangia,Kansas,1,10,13200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Transorangia; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Transorangia,Nebraska,2,10,13200000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Transorangia; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Transorangia,Córdoba Province,3,10,4400000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Transorangia; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Transorangia,La Pampa,4,10,8250000.0,55000.0,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Transorangia; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
Transorangia,Oklahoma,5,10,12099999.999999998,54999.99999999999,yes,Comparator contributes a land-capacity benchmark row.,Benchmark analogue for Transorangia; effective hectares are scaled from the reviewed target-state land profile and the comparator vanilla arable cap.
