state,resource,researched_plausible,live_enabled_in_state,basket_membership_status,audit_relevance,gameplay_note
Cape Colony,Wheat Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Cape Colony,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Cape Colony,Vineyard,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Cape Colony,Tea Plantation,no,yes,live_only,gameplay_or_crop_audit_only,Live gameplay resource sits outside the researched crop-suitability basket.
Cape Colony,Maize Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Tobacco Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Cape Colony,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Cape Colony,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Cape,Vineyard,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Cape,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Cape,Millet Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Tobacco Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Cotton Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Cape,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Cape,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Eastern Cape,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Cape,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Cape,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Tobacco Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Cape,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Cape,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Wheat Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
West Transvaal,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
West Transvaal,Millet Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
West Transvaal,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Tobacco Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
West Transvaal,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
West Transvaal,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Wheat Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Transvaal,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Tea Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Transvaal,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Transvaal,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Sugar Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Transvaal,Tobacco Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Transvaal,Banana Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Transvaal,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Cotton Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Eastern Transvaal,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Eastern Transvaal,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Wheat Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Transvaal,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Tea Plantation,no,yes,live_only,gameplay_or_crop_audit_only,Live gameplay resource sits outside the researched crop-suitability basket.
Northern Transvaal,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Transvaal,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Tobacco Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Transvaal,Banana Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Transvaal,Coffee Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Northern Transvaal,Cotton Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Northern Transvaal,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Northern Transvaal,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Transorangia,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Transorangia,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Transorangia,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Tobacco Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Transorangia,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Transorangia,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Drakensberg,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Drakensberg,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Drakensberg,Millet Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Drakensberg,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Tobacco Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Drakensberg,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Wheat Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Botswana,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Maize Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Botswana,Millet Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Botswana,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Tobacco Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Botswana,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Wheat Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Lourenço Marques,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Lourenço Marques,Millet Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Lourenço Marques,Sugar Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Lourenço Marques,Tobacco Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Banana Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Lourenço Marques,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Cotton Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Lourenço Marques,Rice Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Lourenço Marques,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Lourenço Marques,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Zambezi,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Zambezi,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Zambezi,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Zambezi,Tea Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Zambezi,Maize Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Zambezi,Millet Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Zambezi,Sugar Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Zambezi,Tobacco Plantation,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Zambezi,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Zambezi,Coffee Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Zambezi,Cotton Plantation,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Zambezi,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Zambezi,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Zambezi,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Zambezi,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Wheat Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Hereroland,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Hereroland,Vineyard,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Maize Farm,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Hereroland,Millet Farm,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Hereroland,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Tobacco Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Hereroland,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Wheat Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Livestock Ranch,yes,yes,researched_and_live,gameplay_or_crop_audit_only,Live gameplay and researched crop basket are aligned for this resource.
Namaqualand,Vineyard,yes,no,researched_only,gameplay_or_crop_audit_only,Researched plausible crop is absent from live gameplay resources.
Namaqualand,Tea Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Maize Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Millet Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Sugar Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Tobacco Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Banana Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Coffee Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Cotton Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Rice Farm,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Dye Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Opium,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
Namaqualand,Silk Plantation,no,no,excluded,gameplay_or_crop_audit_only,Resource is outside both the researched basket and live gameplay set.
