comparator_geography,representative_year,land_class,raw_area_ha,effective_weight,effective_area_ha,benchmark_vanilla_wood_cap,year_selection_reason,capacity_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator
Minas Gerais,1936,high_suitability_plantation,1265000.0,1.0,1265000.0,24.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus/charcoal and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Minas Gerais = 2.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Minas Gerais,1936,moderate_suitability_plantation,690000.0,0.65,448500.0,24.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus/charcoal and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Minas Gerais = 2.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Minas Gerais,1936,restorable_commercial_forest,230000.0,0.4,92000.0,24.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus/charcoal and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Minas Gerais = 2.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Minas Gerais,1936,marginal_forestry,115000.0,0.15,17250.0,24.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus/charcoal and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Minas Gerais = 2.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Minas Gerais,1936,noncommercial_wooded_land,0.0,0.0,0.0,24.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus/charcoal and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Minas Gerais = 2.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Minas Gerais,1936,arid_or_unusable,0.0,0.0,0.0,24.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus/charcoal and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Minas Gerais = 2.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Sao Paulo,1936,high_suitability_plantation,715000.0,1.0,715000.0,22.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: São Paulo = 1.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Sao Paulo,1936,moderate_suitability_plantation,390000.0,0.65,253500.0,22.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: São Paulo = 1.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Sao Paulo,1936,restorable_commercial_forest,130000.0,0.4,52000.0,22.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: São Paulo = 1.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Sao Paulo,1936,marginal_forestry,65000.0,0.15,9750.0,22.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: São Paulo = 1.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Sao Paulo,1936,noncommercial_wooded_land,0.0,0.0,0.0,22.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: São Paulo = 1.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Sao Paulo,1936,arid_or_unusable,0.0,0.0,0.0,22.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed eucalyptus and pulpwood belt comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: São Paulo = 1.3 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Parana,1936,high_suitability_plantation,660000.0,1.0,660000.0,30.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with major commercial timber estate. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Paraná = 1.2 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Parana,1936,moderate_suitability_plantation,360000.0,0.65,234000.0,30.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with major commercial timber estate. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Paraná = 1.2 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Parana,1936,restorable_commercial_forest,120000.0,0.4,48000.0,30.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with major commercial timber estate. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Paraná = 1.2 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Parana,1936,marginal_forestry,60000.0,0.15,9000.0,30.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with major commercial timber estate. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Paraná = 1.2 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Parana,1936,noncommercial_wooded_land,0.0,0.0,0.0,30.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with major commercial timber estate. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Paraná = 1.2 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Parana,1936,arid_or_unusable,0.0,0.0,0.0,30.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with major commercial timber estate. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Paraná = 1.2 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Santa Catarina,1936,high_suitability_plantation,577500.0,1.0,577500.0,7.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed pine and eucalyptus plantation comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Santa Catarina = 1.05 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Santa Catarina,1936,moderate_suitability_plantation,315000.0,0.65,204750.0,7.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed pine and eucalyptus plantation comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Santa Catarina = 1.05 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Santa Catarina,1936,restorable_commercial_forest,105000.0,0.4,42000.0,7.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed pine and eucalyptus plantation comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Santa Catarina = 1.05 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Santa Catarina,1936,marginal_forestry,52500.0,0.15,7875.0,7.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed pine and eucalyptus plantation comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Santa Catarina = 1.05 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Santa Catarina,1936,noncommercial_wooded_land,0.0,0.0,0.0,7.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed pine and eucalyptus plantation comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Santa Catarina = 1.05 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Santa Catarina,1936,arid_or_unusable,0.0,0.0,0.0,7.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed pine and eucalyptus plantation comparator. Profile `plantation_core` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Santa Catarina = 1.05 million hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Rio Grande do Sul,1936,high_suitability_plantation,346500.0,1.0,346500.0,11.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with large commercial estate. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Rio Grande do Sul = 990 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Rio Grande do Sul,1936,moderate_suitability_plantation,396000.0,0.65,257400.0,11.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with large commercial estate. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Rio Grande do Sul = 990 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Rio Grande do Sul,1936,restorable_commercial_forest,148500.0,0.4,59400.0,11.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with large commercial estate. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Rio Grande do Sul = 990 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Rio Grande do Sul,1936,marginal_forestry,99000.0,0.15,14850.0,11.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with large commercial estate. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Rio Grande do Sul = 990 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Rio Grande do Sul,1936,noncommercial_wooded_land,0.0,0.0,0.0,11.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with large commercial estate. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Rio Grande do Sul = 990 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Rio Grande do Sul,1936,arid_or_unusable,0.0,0.0,0.0,11.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Managed planted-forest comparator with large commercial estate. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Rio Grande do Sul = 990 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Bahia,1936,high_suitability_plantation,230649.99999999997,1.0,230649.99999999997,18.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Subtropical plantation belt comparator. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Bahia = 659 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Bahia,1936,moderate_suitability_plantation,263600.0,0.65,171340.0,18.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Subtropical plantation belt comparator. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Bahia = 659 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Bahia,1936,restorable_commercial_forest,98850.0,0.4,39540.0,18.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Subtropical plantation belt comparator. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Bahia = 659 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Bahia,1936,marginal_forestry,65900.0,0.15,9885.0,18.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Subtropical plantation belt comparator. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Bahia = 659 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Bahia,1936,noncommercial_wooded_land,0.0,0.0,0.0,18.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Subtropical plantation belt comparator. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Bahia = 659 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Bahia,1936,arid_or_unusable,0.0,0.0,0.0,18.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Subtropical plantation belt comparator. Profile `mixed_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Bahia = 659 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Maranhao,1936,high_suitability_plantation,61600.0,1.0,61600.0,16.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Warm-climate managed forestry comparator. Profile `marginal_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Maranhão = 308 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Maranhao,1936,moderate_suitability_plantation,107800.0,0.65,70070.0,16.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Warm-climate managed forestry comparator. Profile `marginal_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Maranhão = 308 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Maranhao,1936,restorable_commercial_forest,46200.0,0.4,18480.0,16.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Warm-climate managed forestry comparator. Profile `marginal_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Maranhão = 308 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Maranhao,1936,marginal_forestry,92400.0,0.15,13860.0,16.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Warm-climate managed forestry comparator. Profile `marginal_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Maranhão = 308 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
Maranhao,1936,noncommercial_wooded_land,0.0,0.0,0.0,16.0,Wood comparator capacity is benchmarked as potential effective commercial forestry land rather than GDP-selected plantation-estate observations.,Warm-climate managed forestry comparator. Profile `marginal_plantation` converts the observed commercial estate into a plantation-first potential-capacity mix with a capped restoration allowance.,Trees grown for industrial purposes - IBÁ - Indústria Brasileira de Árvores,https://iba.org/en/the-sector/planted-trees/trees-grown-for-industrial-purposes/,Area of trees planted by Brazilian state: Maranhão = 308 thousand hectares.,Proxy-state rationale,,Managed planted-forest comparator only; unmanaged native forest endowment is excluded.
