sheet_key,official_state,rank,band,weight,comparator,country,why,matched_raw_geography,proxy_state_id,vanilla_proxy_arable_land
W_Cape,Cape Colony,1,1-5,10,South Australia,Australia,"Closest full-package match: Mediterranean south coast, wine districts, wheat–sheep belt, orchard valleys, and a strong coastal-to-inland gradient.",South Australia,STATE_SOUTH_AUSTRALIA,30
W_Cape,Cape Colony,2,1-5,10,Maule Region,Chile,"Mediterranean valley-and-coast agriculture with wine, fruit, cereals, and sheep; somewhat cooler and more summer-rainfall influenced in parts.",Maule Region,STATE_SANTIAGO,50
W_Cape,Cape Colony,3,1-5,10,Western Australia,Australia,Southwest corner has a classic wheat–sheep belt plus wine and fruit; flatter and more spatially extensive than the Western Cape.,Western Australia,STATE_WESTERN_AUSTRALIA,30
W_Cape,Cape Colony,4,1-5,10,O'Higgins Region,Chile,Mediterranean fruit-and-wine region with valley farming and surrounding uplands; less maritime and less sheep-oriented than the Cape.,O'Higgins Region,STATE_SANTIAGO,50
W_Cape,Cape Colony,5,1-5,10,California,United States,"Especially the Central Coast/Central Valley mix: Mediterranean climate, vineyards, fruit, and irrigated field crops; much larger and more irrigation-heavy.",California,STATE_CALIFORNIA,300
W_Cape,Cape Colony,6,6-10,5,Valparaíso Region,Chile,"Mediterranean coastal hills with wine, fruit, and vegetables; less cereal/sheep weight than the Cape interior.",Valparaíso Region,STATE_SANTIAGO,50
W_Cape,Cape Colony,7,6-10,5,Andalusia,Spain,"Dry Mediterranean with vineyards, wheat, and sheep/goats; hotter and more olive-dominant.",,,
W_Cape,Cape Colony,8,6-10,5,Alentejo,Portugal,Rolling dry Mediterranean grain–sheep–wine landscape; flatter and more inland than the Western Cape.,,,
W_Cape,Cape Colony,9,6-10,5,Extremadura,Spain,Strong cereal-livestock similarity and Mediterranean dryness; weaker coastal and fruit-valley analogue.,,,
W_Cape,Cape Colony,10,6-10,5,Sicily,Italy,"Mediterranean vineyards, citrus, wheat, and sheep; island setting and heat regime are stronger than in the Western Cape.",,,
W_Cape,Cape Colony,11,11-15,2,Sardinia,Italy,Very good sheep–wine–grain analogue in a Mediterranean setting; less orchard-valley emphasis.,,,
W_Cape,Cape Colony,12,11-15,2,Peloponnese,Greece,"Mediterranean coast-plus-hills with vineyards, citrus, and grazing; more olive-heavy and generally hotter.",,,
W_Cape,Cape Colony,13,11-15,2,Tuscany,Italy,"Wine, wheat, olive, and hill-country agriculture fit well; somewhat cooler/wetter and more forested.",,,
W_Cape,Cape Colony,14,11-15,2,Catalonia,Spain,"Mediterranean coast, vineyards, fruit, and cereals; more urban-industrial and less sheep-centered.",,,
W_Cape,Cape Colony,15,11-15,2,Occitanie,France,Mediterranean wine belt with cereal and sheep zones in the hinterland; less comparable dryland grain structure.,,,
W_Cape,Cape Colony,16,16-20,1,Provence-Alpes-Côte d'Azur,France,Mediterranean fruit and viticulture in coastal valleys and foothills; weaker wheat–sheep match.,,,
W_Cape,Cape Colony,17,16-20,1,Valencian Community,Spain,Mediterranean fruit/citrus and wine zone; more irrigation- and citrus-weighted than the Western Cape.,,,
W_Cape,Cape Colony,18,16-20,1,Manisa Province,Turkey,"Aegean Mediterranean interior with grapes, olives, cereals, and livestock; less maritime-cool and less wheat-sheep balanced.",,,
W_Cape,Cape Colony,19,16-20,1,İzmir Province,Turkey,"Aegean coastal vineyards, fruit, and mixed farming; more urban and more olive/citrus oriented.",,,
W_Cape,Cape Colony,20,16-20,1,Murcia,Spain,Useful for dry Mediterranean horticulture and vineyards; too arid and irrigation-dependent for a full analogue.,,,
NCape_NW,Northern Cape,1,1-5,10,Texas,United States,"Best broad analogue if one includes the High Plains, brush country, and irrigated river belts: cattle, sorghum/maize, cotton, and citrus all coexist.",Texas,STATE_TEXAS,500
NCape_NW,Northern Cape,2,1-5,10,New Mexico,United States,Excellent Northern Cape-type dry plateau analogue with ranching and irrigated valleys; too thin on the North West maize/groundnut side.,New Mexico,STATE_NEW_MEXICO,40
NCape_NW,Northern Cape,3,1-5,10,Chihuahua,Mexico,Arid ranching plateau with river irrigation and mixed livestock; generally drier and less grain-heavy.,,,
NCape_NW,Northern Cape,4,1-5,10,Coahuila,Mexico,Semi-arid cattle/sheep country with irrigation pockets and grape production; weaker summer-rainfall grain component.,,,
NCape_NW,Northern Cape,5,1-5,10,La Pampa,Argentina,Strong match for the grassier ranching-and-grain margin of the combined region; cooler and less desert-fringe.,La Pampa,STATE_LA_PAMPA,150
NCape_NW,Northern Cape,6,6-10,5,Mendoza Province,Argentina,Very good for the arid interior plus irrigated fruit/vineyard side; less maize/groundnut and more Andean irrigation dependence.,Mendoza Province,STATE_RIO_NEGRO,120
NCape_NW,Northern Cape,7,6-10,5,San Luis Province,Argentina,Dry interior grazing and crop-margin analogue with plains and basins; less irrigation horticulture.,San Luis Province,STATE_LA_PAMPA,150
NCape_NW,Northern Cape,8,6-10,5,Sonora,Mexico,Arid cattle country with irrigated wheat/cotton/citrus; too hot and too Pacific-desert leaning.,,,
NCape_NW,Northern Cape,9,6-10,5,Castilla-La Mancha,Spain,"Dry plateau cereals, sheep, and vineyards fit well; Mediterranean seasonality differs from the summer-rainfall side.",,,
NCape_NW,Northern Cape,10,6-10,5,Aragon,Spain,"Semi-arid interior with cereals, sheep, and irrigated fruit zones; cooler and more winter-moist.",,,
NCape_NW,Northern Cape,11,11-15,2,Konya Province,Turkey,Strong dry-plateau grain–sheep analogue; weaker cattle-ranch and river-irrigation fruit element.,,,
NCape_NW,Northern Cape,12,11-15,2,Ankara Province,Turkey,Steppe plateau with cereals and livestock; less arid-western and less irrigated-fruit oriented.,,,
NCape_NW,Northern Cape,13,11-15,2,Rajasthan,India,Useful for semi-arid livestock and millet/grain systems; hotter and less like the North West maize/groundnut belt.,,,
NCape_NW,Northern Cape,14,11-15,2,Khorasan Razavi,Iran,Dry plateau with sheep/cattle and irrigation pockets; weaker maize and subtropical crop component.,,,
NCape_NW,Northern Cape,15,11-15,2,South Khorasan,Iran,Captures the drier pastoral Northern Cape end well; too arid and too sparse for the North West side.,,,
NCape_NW,Northern Cape,16,16-20,1,Xinjiang,China,Desert-basin irrigation plus livestock is a strong structural match; much colder in winter and more continental.,,,
NCape_NW,Northern Cape,17,16-20,1,Inner Mongolia,China,Steppe ranching and grain margins are useful analogues; climate is too cold and continental.,,,
NCape_NW,Northern Cape,18,16-20,1,South Australia,Australia,Interior pastoralism plus wheat belt and irrigation corridors fit parts of the system; Mediterranean south coast skews the state overall.,South Australia,STATE_SOUTH_AUSTRALIA,30
NCape_NW,Northern Cape,19,16-20,1,Western Australia,Australia,Wheat–sheep belt and arid interior match some Northern Cape traits; rainfall seasonality is not close.,Western Australia,STATE_WESTERN_AUSTRALIA,30
NCape_NW,Northern Cape,20,16-20,1,Queensland,Australia,Useful mainly for the North West-type cattle-and-grain margin; the tropical north dilutes the fit.,Queensland,STATE_QUEENSLAND,20
E_Cape,Eastern Cape,1,1-5,10,New South Wales,Australia,"Best all-round analogue: coast, tablelands, and dry interior support sheep, beef, dairy, grains, and fruit in a very Eastern Cape-like mix.",New South Wales,STATE_NEW_SOUTH_WALES,40
E_Cape,Eastern Cape,2,1-5,10,Victoria,Australia,"Strong livestock, dairy, grain, and fruit analogue with temperate coast-to-inland contrast; generally cooler and wetter.",Victoria,STATE_VICTORIA,40
E_Cape,Eastern Cape,3,1-5,10,Canterbury Region,New Zealand,"Excellent for sheep, beef, dairy, grain, and an east-coast dry plain backed by higher country; much cooler overall.",,,
E_Cape,Eastern Cape,4,1-5,10,Rio Grande do Sul,Brazil,Good cattle–sheep–grain analogue with temperate to subtropical coasts and rolling interior; less dry Karoo-like country.,Rio Grande do Sul,STATE_RIO_GRANDE_DO_SUL,80
E_Cape,Eastern Cape,5,1-5,10,Otago Region,New Zealand,Very strong for sheep/beef high country and dry east-coast valleys; colder and less subtropical on the coast.,,,
E_Cape,Eastern Cape,6,6-10,5,Buenos Aires Province,Argentina,"Livestock, wheat, and dairy fit very well; too flat and lacking the escarpment/Karoo split.",Buenos Aires Province,STATE_BUENOS_AIRES,300
E_Cape,Eastern Cape,7,6-10,5,Rocha Department,Uruguay,Coastal livestock and mixed farming resemble the softer eastern coastal side; lacks the dry interior and mountain edge.,,,
E_Cape,Eastern Cape,8,6-10,5,Entre Ríos Province,Argentina,"Cattle, grains, and citrus fit well; too humid and riverine.",Entre Ríos Province,STATE_CORRIENTES,120
E_Cape,Eastern Cape,9,6-10,5,Cerro Largo Department,Uruguay,Rolling cattle-and-sheep country with crop pockets; weaker coast and drier interior analogue.,,,
E_Cape,Eastern Cape,10,6-10,5,Ñuble Region,Chile,"Mixed grain, fruit, and livestock region on the Mediterranean–temperate transition; less wool/mohair weighted.",Ñuble Region,STATE_ARAUCANIA,10
E_Cape,Eastern Cape,11,11-15,2,Biobío Region,Chile,Useful for coast plus upland farming and livestock; more forestry-heavy and wetter.,Biobío Region,STATE_ARAUCANIA,10
E_Cape,Eastern Cape,12,11-15,2,Lavalleja Department,Uruguay,Hillier sheep-and-cattle country than much of Uruguay; still lacks the Karoo and Indian Ocean coast contrast.,,,
E_Cape,Eastern Cape,13,11-15,2,Maule Region,Chile,"Works for mixed grain, fruit, and livestock agriculture; too Mediterranean and not enough humid summer-rain zone.",Maule Region,STATE_SANTIAGO,50
E_Cape,Eastern Cape,14,11-15,2,Galicia,Spain,Coastal cattle and dairy resemblance is good; far too wet and not sheep/Karoo enough.,,,
E_Cape,Eastern Cape,15,11-15,2,Asturias,Spain,Useful for rugged coast plus dairy/beef systems; weak analogue for the interior dry-stock side.,,,
E_Cape,Eastern Cape,16,16-20,1,Tasmania,Australia,"Sheep, dairy, beef, and fruit fit well in parts; climate is too cool and maritime.",Tasmania,STATE_TASMANIA,15
E_Cape,Eastern Cape,17,16-20,1,Southland,New Zealand,"Livestock-heavy and pastoral, with some grain; too cool and lacking the drier inland contrast.",,,
E_Cape,Eastern Cape,18,16-20,1,Brittany,France,Strong coastal livestock and dairy system; almost no analogue for the semi-arid interior.,,,
E_Cape,Eastern Cape,19,16-20,1,Corrientes,Argentina,Useful for cattle and subtropical crop pockets; far too humid and low-lying.,Corrientes,STATE_CORRIENTES,120
E_Cape,Eastern Cape,20,16-20,1,Paraná,Brazil,Good mixed-farming plateau with cattle and grains; weaker sheep/Karoo analogue and less coastal similarity.,Paraná,STATE_PARANA,40
Limpopo,Northern Transvaal,1,1-5,10,Tamaulipas,Mexico,Hot brush-country plus irrigated citrus and cattle system is one of the closest agricultural matches.,,,
Limpopo,Northern Transvaal,2,1-5,10,Texas,United States,"Especially South Texas and adjoining interior belts: cattle, citrus, sorghum/maize, and hot savanna-to-semi-arid conditions.",Texas,STATE_TEXAS,500
Limpopo,Northern Transvaal,3,1-5,10,Mato Grosso do Sul,Brazil,Warm cattle-and-grain savanna with some citrus and diversified agriculture; more mechanized and wetter in many districts.,Mato Grosso do Sul,STATE_MATO_GROSSO,60
Limpopo,Northern Transvaal,4,1-5,10,Santa Cruz Department,Bolivia,"Hot lowland cattle, sugar, maize, and fruit region with bushland and frontier agriculture; flatter and more humid in the core.",,,
Limpopo,Northern Transvaal,5,1-5,10,Goiás,Brazil,"Warm plateau agriculture with cattle, maize, and irrigated horticulture; less citrus/subtropical-fruit centered.",Goiás,STATE_GOIAS,40
Limpopo,Northern Transvaal,6,6-10,5,Maharashtra,India,"Vidarbha/Marathwada-type hot inland farming with citrus, cotton, grains, and livestock resembles parts of Limpopo.",,,
Limpopo,Northern Transvaal,7,6-10,5,Gujarat,India,"Semi-arid heat, cattle, groundnuts, cotton, and citrus make it a useful analogue; coastal and monsoonal structure differs.",,,
Limpopo,Northern Transvaal,8,6-10,5,Telangana,India,"Hot plateau with maize, cotton, horticulture, and livestock; weaker citrus and bushveld resemblance.",,,
Limpopo,Northern Transvaal,9,6-10,5,Formosa Province,Argentina,Subtropical cattle-and-crop province with hot conditions and some fruit; flatter and wetter.,Formosa Province,STATE_FORMOSA,80
Limpopo,Northern Transvaal,10,6-10,5,Chaco Province,Argentina,Hot cattle-and-grain/cotton lowland analogue; less subtropical-fruit emphasis.,Chaco Province,STATE_CHACO,60
Limpopo,Northern Transvaal,11,11-15,2,Queensland,Australia,"Useful for cattle, hot dry tropics, irrigation horticulture, and upland-to-lowland contrasts; too large and too coastal in aggregate.",Queensland,STATE_QUEENSLAND,20
Limpopo,Northern Transvaal,12,11-15,2,Minas Gerais,Brazil,"Diverse warm uplands with cattle, maize, fruit, and tobacco; generally less bushveld and less semi-arid.",Minas Gerais,STATE_MINAS_GERAIS,150
Limpopo,Northern Transvaal,13,11-15,2,Yucatán,Mexico,Hot cattle-and-citrus zone with dry-forest conditions; too flat and lacking Limpopo’s upland crop belt.,,,
Limpopo,Northern Transvaal,14,11-15,2,Campeche,Mexico,Warm cattle and mixed tropical farming; too wet/lowland.,,,
Limpopo,Northern Transvaal,15,11-15,2,Tocantins,Brazil,Hot savanna cattle-and-grain state with river valleys; less horticultural and less topographically varied.,,,
Limpopo,Northern Transvaal,16,16-20,1,Veracruz,Mexico,"Strong citrus and tropical-crop analogue, but much too humid and coastal.",,,
Limpopo,Northern Transvaal,17,16-20,1,Andhra Pradesh,India,"Warm mixed farming with citrus, rice, and livestock; too monsoonal and less bushveld-like.",,,
Limpopo,Northern Transvaal,18,16-20,1,North Central Province,Sri Lanka,Dry tropical mixed farming with irrigation and cattle gives a partial analogue; crop package differs substantially.,,,
Limpopo,Northern Transvaal,19,16-20,1,East Nusa Tenggara,Indonesia,Useful for hot dry-season cattle country; much weaker citrus/maize and less subtropical.,,,
Limpopo,Northern Transvaal,20,16-20,1,Sinaloa,Mexico,Hot irrigated horticultural state with cattle and maize; too irrigation-dominant and coastal.,,,
Mpm_ESW,Eastern Transvaal,1,1-5,10,São Paulo,Brazil,Excellent for the sugarcane–citrus–cattle–plateau mix; less rugged and less forestry-heavy than Mpumalanga plus Eswatini.,São Paulo,STATE_SAO_PAULO,130
Mpm_ESW,Eastern Transvaal,2,1-5,10,Paraná,Brazil,"Very strong humid plateau analogue with maize, cattle, forestry, and citrus; sugarcane is important but not as dominant as in the lowveld.",Paraná,STATE_PARANA,40
Mpm_ESW,Eastern Transvaal,3,1-5,10,Queensland,Australia,"Cane, cattle, citrus, and escarpment/coastal gradients make it a very strong structural match; less maize-plateau identity.",Queensland,STATE_QUEENSLAND,20
Mpm_ESW,Eastern Transvaal,4,1-5,10,Santa Catarina,Brazil,Humid hills and plateau farming with livestock and forestry fit well; weaker sugarcane analogue.,Santa Catarina,STATE_SANTA_CATARINA,40
Mpm_ESW,Eastern Transvaal,5,1-5,10,Minas Gerais,Brazil,"Varied upland farming with cattle, forestry, citrus, and maize; sugarcane less central and relief pattern broader.",Minas Gerais,STATE_MINAS_GERAIS,150
Mpm_ESW,Eastern Transvaal,6,6-10,5,Misiones Province,Argentina,"Red-soil subtropical hills with forestry, citrus, and cattle are very comparable; little large-scale sugarcane.",Misiones Province,STATE_CORRIENTES,120
Mpm_ESW,Eastern Transvaal,7,6-10,5,North Carolina,United States,"Humid uplands and piedmont with forestry, livestock, and row crops make a good broad analogue; lacks sugarcane.",North Carolina,STATE_NORTH_CAROLINA,180
Mpm_ESW,Eastern Transvaal,8,6-10,5,Georgia,United States,Warm humid farming with forestry and livestock fits parts of the system; less escarpment and less cane.,Georgia,STATE_GEORGIA,180
Mpm_ESW,Eastern Transvaal,9,6-10,5,South Carolina,United States,Good for humid mixed farming and forestry; weaker highland component.,South Carolina,STATE_SOUTH_CAROLINA,100
Mpm_ESW,Eastern Transvaal,10,6-10,5,Guangxi,China,One of the best cane-and-citrus hill-country analogues globally; rice is more important and cattle less so.,,,
Mpm_ESW,Eastern Transvaal,11,11-15,2,Yunnan,China,"Altitude gradients, tobacco, cane in warmer belts, and forestry fit well; more upland and more diversified than Mpumalanga.",,,
Mpm_ESW,Eastern Transvaal,12,11-15,2,Kagoshima Prefecture,Japan,"Warm hilly farming with cane, citrus, beef, and forestry is a notable partial analogue; island/volcanic setting differs.",,,
Mpm_ESW,Eastern Transvaal,13,11-15,2,Fujian,China,"Subtropical hills, citrus, and forestry fit; sugarcane and maize are less central.",,,
Mpm_ESW,Eastern Transvaal,14,11-15,2,Corrientes,Argentina,"Cattle, rice, and citrus in warm humid lowlands resemble the lowveld side; weak escarpment match.",Corrientes,STATE_CORRIENTES,120
Mpm_ESW,Eastern Transvaal,15,11-15,2,Espírito Santo,Brazil,"Coast-to-hill gradient with forestry, cattle, and citrus; less maize and less cane.",Espírito Santo,STATE_BAHIA,80
Mpm_ESW,Eastern Transvaal,16,16-20,1,Bahia,Brazil,"Useful for cane, citrus, cattle, and elevation contrasts; generally hotter and less temperate-highveld.",Bahia,STATE_BAHIA,80
Mpm_ESW,Eastern Transvaal,17,16-20,1,Khyber Pakhtunkhwa,Pakistan,"Foothill gradient with maize, sugarcane, tobacco, and citrus gives a surprisingly good agricultural analogue.",,,
Mpm_ESW,Eastern Transvaal,18,16-20,1,Uttarakhand,India,Foothill forests plus sugarcane and citrus fit some belts; too Himalayan and less lowveld-sugar oriented.,,,
Mpm_ESW,Eastern Transvaal,19,16-20,1,Oaxaca,Mexico,"Mountain-to-lowland gradient with cane, citrus, cattle, and forestry offers a useful partial match.",,,
Mpm_ESW,Eastern Transvaal,20,16-20,1,Kochi Prefecture,Japan,Humid mountainous citrus-and-forest region; much weaker cattle and maize resemblance.,,,
Free_State,Transorangia,1,1-5,10,Kansas,United States,"Best overall analogue for open plains, grain orientation, cattle, and the balance between dryland and better-watered districts.",Kansas,STATE_KANSAS,240
Free_State,Transorangia,2,1-5,10,Nebraska,United States,Strong maize–wheat–cattle match on open plains; generally more productive and more irrigation-intensive.,Nebraska,STATE_NEBRASKA,240
Free_State,Transorangia,3,1-5,10,Córdoba Province,Argentina,"Excellent summer-rain grain-and-cattle analogue, especially for maize and wheat; lower altitude and more intensive row cropping.",Córdoba Province,STATE_SANTA_FE,80
Free_State,Transorangia,4,1-5,10,La Pampa,Argentina,Very strong for drier grain-livestock plains and sheep/cattle balance; cooler and flatter.,La Pampa,STATE_LA_PAMPA,150
Free_State,Transorangia,5,1-5,10,Oklahoma,United States,Plains grain-and-cattle mix with some wheat specialization; warmer and more variable.,Oklahoma,STATE_OKLAHOMA,220
Free_State,Transorangia,6,6-10,5,Colorado,United States,"Useful for elevated plains, cattle, and wheat; much colder and drier.",Colorado,STATE_COLORADO,160
Free_State,Transorangia,7,6-10,5,Buenos Aires Province,Argentina,"Large-scale wheat, maize, beef, and dairy fit well; too humid and too flat overall.",Buenos Aires Province,STATE_BUENOS_AIRES,300
Free_State,Transorangia,8,6-10,5,Saskatchewan,Canada,Excellent broad grain-belt analogue with cattle; far colder and more continental.,,,
Free_State,Transorangia,9,6-10,5,Alberta,Canada,Prairie grain and beef fit well; colder and less maize-oriented.,,,
Free_State,Transorangia,10,6-10,5,Queensland,Australia,Darling Downs-type grain and cattle belt is a good partial analogue; warmer and more variable.,Queensland,STATE_QUEENSLAND,20
Free_State,Transorangia,11,11-15,2,New South Wales,Australia,Interior wheat–sheep–cattle belts fit well; strong coastal share makes the state broader than the analogue.,New South Wales,STATE_NEW_SOUTH_WALES,40
Free_State,Transorangia,12,11-15,2,Jász-Nagykun-Szolnok County,Hungary,Open lowland cereals and livestock provide a solid European analogue; winter-cold regime differs.,,,
Free_State,Transorangia,13,11-15,2,Hajdú-Bihar County,Hungary,Another strong plain-grain-livestock analogue; less like the elevated Highveld physiography.,,,
Free_State,Transorangia,14,11-15,2,Csongrád-Csanád County,Hungary,Cereal and livestock plain with some irrigation; less summer-rainfall shaped.,,,
Free_State,Transorangia,15,11-15,2,Kostanay Region,Kazakhstan,Steppe grain-belt analogue with cattle; much colder and more continental.,,,
Free_State,Transorangia,16,16-20,1,Akmola Region,Kazakhstan,Broad open grain steppe fit is good; temperature regime diverges sharply.,,,
Free_State,Transorangia,17,16-20,1,North Kazakhstan Region,Kazakhstan,Very good for steppe grain structure; weak maize and grazing-climate equivalence.,,,
Free_State,Transorangia,18,16-20,1,Pavlodar Region,Kazakhstan,Useful for steppe grain and livestock; colder and more continental.,,,
Free_State,Transorangia,19,16-20,1,Inner Mongolia,China,Grassland–grain transition and livestock fit well; winter severity is much greater.,,,
Free_State,Transorangia,20,16-20,1,Canterbury Region,New Zealand,Grain and livestock on an open plain work as a lower-tier analogue; rainfall seasonality and maritime influence differ.,,,
Gauteng,West Transvaal,1,1-5,10,State of Mexico,Mexico,"High-altitude urban-industrial region with peri-urban maize, dairy, and horticulture: probably the closest broad functional analogue.",,,
Gauteng,West Transvaal,2,1-5,10,Cundinamarca,Colombia,"High plateau around a dominant metropolis with dairying, vegetables, and mixed farming on the urban fringe.",,,
Gauteng,West Transvaal,3,1-5,10,Jalisco,Mexico,"Highland industrial state with a major metro, maize, dairy, horticulture, and strong service/manufacturing sectors.",,,
Gauteng,West Transvaal,4,1-5,10,Querétaro,Mexico,"Compact industrial highland region with expanding metro agriculture and manufacturing, similar in economic role if smaller.",,,
Gauteng,West Transvaal,5,1-5,10,Guanajuato,Mexico,Urban-industrial corridor on a temperate plateau with peri-urban farming; less mining-centered.,,,
Gauteng,West Transvaal,6,6-10,5,Federal District,Brazil,Highland capital region with large service economy and an agricultural fringe of grains and cattle; more planned and less mining-linked.,Federal District,STATE_GOIAS,40
Gauteng,West Transvaal,7,6-10,5,Karnataka,India,"Bengaluru plateau gives a strong urban-highland analogue, with dairy and horticulture nearby; monsoonal crop system differs.",,,
